evaluations raw_y
1 -161.0000000000
355 -114.0000000000
1526 -107.0000000000
2443 -101.0000000000
2645 -87.0000000000
2703 -74.0000000000
3245 -67.0000000000
3753 -48.0000000000
4509 -35.0000000000
4590 -29.0000000000
5253 -27.0000000000
5335 -22.0000000000
5599 -21.0000000000
5751 -7.0000000000
6561 -2.0000000000
6692 4.0000000000
8142 6.0000000000
100000 6.0000000000
evaluations raw_y
1 -389.0000000000
2 -315.0000000000
13 -288.0000000000
23 -282.0000000000
25 -135.0000000000
1302 -129.0000000000
1818 -114.0000000000
2774 -108.0000000000
3384 -102.0000000000
3455 -95.0000000000
3581 -88.0000000000
3771 -87.0000000000
4001 -68.0000000000
4289 -61.0000000000
4512 -48.0000000000
4714 -22.0000000000
5717 -16.0000000000
5862 -8.0000000000
6643 2.0000000000
7329 4.0000000000
9078 5.0000000000
13114 6.0000000000
19483 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -429.0000000000
4 -322.0000000000
7 -282.0000000000
43 -275.0000000000
62 -255.0000000000
64 -195.0000000000
872 -194.0000000000
1022 -188.0000000000
1201 -154.0000000000
1648 -134.0000000000
2027 -128.0000000000
2438 -74.0000000000
3351 -62.0000000000
4224 -54.0000000000
4691 -48.0000000000
5102 -42.0000000000
5148 -29.0000000000
5449 -15.0000000000
6444 -8.0000000000
7032 -7.0000000000
7437 -2.0000000000
7976 -1.0000000000
8178 4.0000000000
9259 5.0000000000
10507 6.0000000000
15180 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -336.0000000000
3 -302.0000000000
9 -275.0000000000
21 -201.0000000000
96 -188.0000000000
1088 -155.0000000000
1756 -114.0000000000
2017 -108.0000000000
2525 -88.0000000000
2692 -41.0000000000
4017 -29.0000000000
4317 -28.0000000000
4541 -22.0000000000
4548 -15.0000000000
5155 -3.0000000000
6325 -2.0000000000
6528 4.0000000000
7131 5.0000000000
9728 6.0000000000
14560 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -396.0000000000
2 -369.0000000000
10 -356.0000000000
12 -335.0000000000
14 -269.0000000000
54 -215.0000000000
282 -208.0000000000
287 -174.0000000000
298 -168.0000000000
505 -148.0000000000
1161 -127.0000000000
2020 -101.0000000000
2677 -100.0000000000
2981 -81.0000000000
3160 -67.0000000000
3675 -54.0000000000
3692 -33.0000000000
4210 -21.0000000000
4582 -20.0000000000
4899 -16.0000000000
5376 -10.0000000000
5614 -9.0000000000
6493 -3.0000000000
6673 -1.0000000000
7350 4.0000000000
8522 5.0000000000
13580 6.0000000000
15145 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -363.0000000000
6 -262.0000000000
41 -208.0000000000
107 -175.0000000000
1134 -168.0000000000
1146 -155.0000000000
1264 -121.0000000000
2127 -115.0000000000
2554 -82.0000000000
2909 -81.0000000000
3467 -74.0000000000
3482 -61.0000000000
3486 -42.0000000000
3646 -29.0000000000
4965 -22.0000000000
5523 -10.0000000000
6367 -9.0000000000
6728 2.0000000000
6746 3.0000000000
7509 4.0000000000
8128 5.0000000000
12345 6.0000000000
30859 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -457.0000000000
3 -302.0000000000
39 -128.0000000000
1688 -116.0000000000
1986 -108.0000000000
2265 -107.0000000000
2467 -75.0000000000
3107 -67.0000000000
3722 -48.0000000000
4019 -42.0000000000
4039 -41.0000000000
4488 -36.0000000000
4543 -15.0000000000
4790 -14.0000000000
5764 -8.0000000000
6359 4.0000000000
7644 5.0000000000
9373 6.0000000000
10263 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -322.0000000000
2 -302.0000000000
18 -282.0000000000
31 -255.0000000000
39 -248.0000000000
45 -221.0000000000
55 -155.0000000000
1180 -141.0000000000
1768 -140.0000000000
1860 -114.0000000000
2199 -94.0000000000
2311 -87.0000000000
3053 -74.0000000000
3321 -61.0000000000
